Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,315.359985,319.750000,314.609985,319.000000,317.566223,38132800
2020-02-19,320.000000,324.570007,320.000000,323.619995,322.165466,23496000
2020-02-20,322.630005,324.649994,318.209991,320.299988,318.860352,25141500
2020-02-21,318.619995,320.450012,310.500000,313.049988,311.642975,32388500
2020-02-24,297.260010,304.179993,289.230011,298.179993,296.839783,55548800
2020-02-25,300.950012,302.529999,286.130005,288.079987,286.785187,57668400
2020-02-26,286.529999,297.880005,286.500000,292.649994,291.334656,49513700
2020-02-27,281.100006,286.000000,272.959991,273.519989,272.290649,79834500
2020-02-28,257.260010,278.410004,256.369995,273.359985,272.131348,106721200
2020-03-02,282.279999,301.440002,277.720001,298.809998,297.466949,85349300
2020-03-03,303.670013,304.000000,285.799988,289.320007,288.019653,79868900
2020-03-04,296.440002,303.399994,293.130005,302.739990,301.379303,54794600
2020-03-05,295.519989,299.549988,291.410004,292.920013,291.603455,46893200
2020-03-06,282.000000,290.820007,281.230011,289.029999,287.730957,56544200
2020-03-09,263.750000,278.089996,263.000000,266.170013,264.973694,71686200
2020-03-10,277.140015,286.440002,269.369995,285.339996,284.057526,71322500
2020-03-11,277.390015,281.220001,271.859985,275.429993,274.192047,63899700
2020-03-12,255.940002,270.000000,248.000000,248.229996,247.114319,104618500
2020-03-13,264.890015,279.920013,252.949997,277.970001,276.720642,92683000
2020-03-16,241.949997,259.079987,240.000000,242.210007,241.121384,80605900
2020-03-17,247.509995,257.609985,238.399994,252.860001,251.723511,81014000
2020-03-18,239.770004,250.000000,237.119995,246.669998,245.561325,75058400
2020-03-19,247.389999,252.839996,242.610001,244.779999,243.679810,67964300
2020-03-20,247.179993,251.830002,228.000000,229.240005,228.209671,100423300
2020-03-23,228.080002,228.500000,212.610001,224.369995,223.361542,84188200
2020-03-24,236.360001,247.690002,234.300003,246.880005,245.770386,71882800
2020-03-25,250.750000,258.250000,244.300003,245.520004,244.416489,75900500
