"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.500","3.280","3.700","3.230","19.92K","6.06%"
"May 04, 2020","3.300","3.580","3.580","3.250","19.12K","-5.44%"
"May 01, 2020","3.490","3.370","3.490","3.270","2.80K","0.87%"
"Apr 30, 2020","3.460","3.460","3.460","3.460","-","-0.86%"
"Apr 29, 2020","3.490","3.490","3.490","3.490","-","7.19%"
"Apr 27, 2020","3.256","3.360","3.360","3.250","140.21K","-9.56%"
"Apr 20, 2020","3.600","3.588","3.600","3.588","3.86K","3.75%"
"Apr 16, 2020","3.470","3.615","3.615","3.410","1.12K","-0.57%"
"Apr 15, 2020","3.490","3.630","3.630","3.490","0.73K","-9.35%"
"Apr 14, 2020","3.850","3.850","3.850","3.850","-","9.87%"
"Apr 13, 2020","3.504","3.640","3.640","3.360","8.59K","9.84%"
"Apr 09, 2020","3.190","3.240","3.587","3.180","53.21K","-14.41%"
"Apr 07, 2020","3.727","3.727","3.727","3.727","-","15.03%"
"Apr 03, 2020","3.240","3.570","3.570","3.240","49.85K","-10.50%"
"Mar 31, 2020","3.620","3.620","3.620","3.620","-","3.72%"
"Mar 30, 2020","3.490","3.455","3.490","3.380","11.71K","3.25%"
"Mar 27, 2020","3.380","3.210","3.380","3.210","1.30K","5.30%"
"Mar 25, 2020","3.210","3.160","3.210","3.160","1.65K","2.23%"
"Mar 24, 2020","3.140","3.250","3.600","3.140","17.36K","6.80%"
"Mar 23, 2020","2.940","2.890","3.065","2.890","12.02K","-4.55%"
"Mar 20, 2020","3.080","3.425","3.425","3.080","32.68K","-1.75%"
"Mar 19, 2020","3.135","2.920","3.135","2.920","0.63K","4.50%"
"Mar 18, 2020","3.000","3.380","3.380","3.000","0.49K","0.00%"
"Mar 17, 2020","3.000","3.000","3.000","3.000","-","-15.73%"
"Mar 16, 2020","3.560","3.170","3.560","3.170","0.53K","0.85%"
"Mar 13, 2020","3.530","3.580","3.580","3.530","0.38K","-3.81%"
"Mar 11, 2020","3.670","3.855","3.855","3.670","0.31K","-8.02%"
"Mar 10, 2020","3.990","3.690","3.990","3.690","2.00K","10.83%"
"Mar 09, 2020","3.600","3.805","3.805","3.600","0.60K","-12.41%"
"Mar 05, 2020","4.110","4.230","4.240","4.110","13.36K","2.49%"
"Mar 04, 2020","4.010","4.116","4.116","4.010","0.56K","3.30%"
"Mar 03, 2020","3.882","3.870","3.882","3.870","0.39K","1.09%"
"Mar 02, 2020","3.840","3.840","3.840","3.840","-","-3.52%"
"Feb 28, 2020","3.980","3.980","3.980","3.980","-","1.79%"
"Feb 27, 2020","3.910","3.860","3.910","3.860","0.37K","-0.76%"
"Feb 26, 2020","3.940","3.940","3.940","3.940","-","-1.01%"
"Feb 25, 2020","3.980","3.885","3.980","3.885","0.44K","1.53%"
"Feb 24, 2020","3.920","3.930","3.970","3.700","2.72K","-2.00%"
"Feb 21, 2020","4.000","4.040","4.050","4.000","2.95K","-0.74%"
"Feb 20, 2020","4.030","4.030","4.030","4.030","-","-4.73%"
"Feb 11, 2020","4.230","4.220","4.230","4.220","0.20K","0.21%"
"Feb 07, 2020","4.221","4.180","4.221","4.180","0.32K","1.22%"
"Feb 05, 2020","4.170","4.120","4.170","4.120","0.89K","-1.65%"
"Feb 04, 2020","4.240","4.070","4.240","4.070","0.98K","2.91%"
"Feb 03, 2020","4.120","4.080","4.120","4.080","0.64K","3.00%"
"Jan 31, 2020","4.000","4.220","4.220","4.000","0.70K","-5.88%"
"Jan 29, 2020","4.250","4.260","4.260","4.250","0.96K","0.64%"
"Jan 28, 2020","4.223","4.190","4.230","4.190","72.36K","0.55%"
"Jan 24, 2020","4.200","4.200","4.200","4.200","-","-1.87%"
"Jan 21, 2020","4.280","4.280","4.280","4.280","-","-0.47%"
"Jan 13, 2020","4.300","4.300","4.300","4.300","-","1.90%"
"Jan 10, 2020","4.220","4.270","4.270","4.220","1.89K","2.68%"
"Jan 08, 2020","4.110","4.110","4.110","4.110","-","-2.84%"
"Jan 07, 2020","4.230","4.230","4.230","4.230","-","0.48%"
"Jan 03, 2020","4.210","4.210","4.210","4.210","-","1.45%"
"Dec 30, 2019","4.150","4.260","4.260","4.150","1.30K","-3.38%"
"Dec 27, 2019","4.295","4.295","4.295","4.295","-","0.82%"
"Dec 24, 2019","4.260","4.051","4.260","4.051","3.75K","0.02%"
"Dec 20, 2019","4.259","4.220","4.259","4.100","1.05K","4.39%"
"Dec 19, 2019","4.080","4.190","4.190","4.080","3.20K","0.49%"
"Dec 18, 2019","4.060","4.060","4.060","4.060","-","-4.25%"
"Dec 17, 2019","4.240","4.125","4.240","4.125","0.25K","5.21%"
"Dec 16, 2019","4.030","4.125","4.125","4.030","0.78K","-4.05%"
"Dec 13, 2019","4.200","4.200","4.200","4.200","-","5.47%"
"Dec 12, 2019","3.982","3.970","3.982","3.970","1.25K","-1.68%"
"Dec 11, 2019","4.050","4.000","4.050","4.000","54.97K","-0.49%"
"Dec 09, 2019","4.070","4.067","4.070","4.067","1.71K","-2.16%"
"Dec 06, 2019","4.160","4.210","4.210","4.160","0.64K","2.97%"
"Dec 04, 2019","4.040","4.150","4.150","4.040","2.38K","-1.22%"
"Nov 25, 2019","4.090","4.090","4.090","4.090","-","0.00%"
"Nov 21, 2019","4.090","4.130","4.130","4.090","11.25K","0.99%"
"Nov 20, 2019","4.050","4.145","4.145","4.050","10.15K","-1.22%"
"Nov 18, 2019","4.100","4.230","4.230","4.100","0.37K","-1.70%"
"Nov 15, 2019","4.171","4.126","4.171","4.126","0.49K","2.99%"
"Nov 13, 2019","4.050","4.050","4.050","4.050","-","-4.48%"
"Nov 08, 2019","4.240","4.195","4.240","4.195","0.23K","1.68%"
"Nov 07, 2019","4.170","4.170","4.170","4.170","-","1.71%"
"Nov 06, 2019","4.100","4.100","4.100","4.100","-","0.24%"
"Nov 04, 2019","4.090","4.090","4.090","4.090","-","2.00%"
"Oct 31, 2019","4.010","4.010","4.010","4.010","-","2.30%"
"Oct 25, 2019","3.920","4.160","4.160","3.920","0.54K","-0.76%"
"Oct 24, 2019","3.950","3.950","3.950","3.950","-","-5.50%"
"Oct 21, 2019","4.180","4.180","4.180","4.180","-","0.72%"
"Oct 17, 2019","4.150","4.150","4.150","4.150","-","-0.24%"
"Oct 11, 2019","4.160","4.060","4.160","4.060","1.78K","1.46%"
"Oct 09, 2019","4.100","4.100","4.100","4.100","-","-0.49%"
"Oct 03, 2019","4.120","4.120","4.120","4.120","-","2.23%"
"Sep 30, 2019","4.030","4.030","4.030","4.030","-","-1.47%"
"Sep 23, 2019","4.090","4.090","4.090","4.090","-","0.99%"
"Sep 19, 2019","4.050","4.090","4.090","4.050","0.28K","-5.37%"
"Sep 18, 2019","4.280","4.280","4.280","4.280","-","-2.06%"
"Sep 13, 2019","4.370","4.370","4.370","4.370","-","4.27%"
"Sep 12, 2019","4.191","4.191","4.191","4.191","-","0.75%"
"Sep 10, 2019","4.160","4.190","4.220","4.160","0.98K","0.24%"
"Sep 06, 2019","4.150","4.110","4.150","4.110","0.69K","-3.04%"
"Sep 05, 2019","4.280","4.280","4.280","4.280","-","0.47%"
"Sep 04, 2019","4.260","4.260","4.260","4.260","-","0.24%"
"Aug 30, 2019","4.250","4.250","4.250","4.250","-","4.94%"
"Aug 28, 2019","4.050","4.050","4.050","4.050","-","-2.41%"
"Aug 23, 2019","4.150","4.150","4.150","4.150","-","3.75%"
"Aug 21, 2019","4.000","4.010","4.010","4.000","9.80K","-2.08%"
"Aug 15, 2019","4.085","4.085","4.085","4.085","-","-2.97%"
"Aug 14, 2019","4.210","4.210","4.210","4.210","-","0.00%"
"Aug 13, 2019","4.210","4.210","4.210","4.210","-","0.96%"
"Aug 12, 2019","4.170","4.128","4.170","4.128","0.77K","0.24%"
"Aug 07, 2019","4.160","4.160","4.160","4.160","-","-1.19%"
"Aug 06, 2019","4.210","4.160","4.210","4.160","0.56K","4.47%"
"Aug 02, 2019","4.030","4.077","4.077","4.030","0.26K","-4.73%"
"Aug 01, 2019","4.230","4.230","4.230","4.230","-","-0.47%"
"Jul 29, 2019","4.250","4.130","4.250","4.130","0.79K","2.66%"
"Jul 24, 2019","4.140","4.140","4.140","4.140","-","-1.19%"
"Jul 23, 2019","4.190","4.190","4.190","4.190","-","0.00%"
"Jul 19, 2019","4.190","4.280","4.315","4.190","10.95K","-3.83%"
"Jul 18, 2019","4.357","4.357","4.357","4.357","-","2.76%"
"Jul 17, 2019","4.240","4.240","4.240","4.240","-","-0.24%"
"Jul 16, 2019","4.250","4.380","4.380","4.250","0.98K","-3.41%"
"Jul 15, 2019","4.400","4.400","4.400","4.400","-","-1.12%"
"Jul 12, 2019","4.450","4.250","4.450","4.240","24.54K","4.71%"
"Jul 11, 2019","4.250","4.250","4.250","4.250","-","0.24%"
"Jul 10, 2019","4.240","4.410","4.410","4.240","5.04K","-3.64%"
"Jul 08, 2019","4.400","4.410","4.410","4.357","1.89K","-0.68%"
"Jul 05, 2019","4.430","4.330","4.430","4.330","0.35K","2.90%"
"Jul 03, 2019","4.305","4.270","4.305","4.270","2.59K","1.53%"
"Jul 02, 2019","4.240","4.240","4.240","4.240","-","-2.08%"
"Jul 01, 2019","4.330","4.240","4.330","4.240","3.68K","1.05%"
"Jun 26, 2019","4.285","4.285","4.285","4.285","-","0.82%"
"Jun 25, 2019","4.250","4.265","4.265","4.250","0.21K","-0.58%"
"Jun 20, 2019","4.275","4.275","4.275","4.275","-","-0.93%"
"Jun 17, 2019","4.315","4.315","4.315","4.315","-","0.91%"
"Jun 13, 2019","4.276","4.250","4.276","4.250","0.23K","-1.47%"
"Jun 12, 2019","4.340","4.272","4.340","4.250","1.02K","1.52%"
"Jun 11, 2019","4.275","4.315","4.410","4.275","0.39K","-0.35%"
"Jun 06, 2019","4.290","4.400","4.400","4.290","0.61K","1.18%"
"Jun 05, 2019","4.240","4.240","4.240","4.240","-","0.00%"
"May 31, 2019","4.240","4.240","4.240","4.240","-","0.47%"
"May 29, 2019","4.220","4.220","4.220","4.220","-","-0.24%"
"May 28, 2019","4.230","4.230","4.230","4.230","-","-0.70%"
"May 23, 2019","4.260","4.210","4.260","4.210","0.84K","-1.80%"
"May 14, 2019","4.338","4.220","4.338","4.210","15.35K","3.78%"
"May 13, 2019","4.180","4.180","4.180","4.180","-","-2.50%"
"May 08, 2019","4.287","4.287","4.287","4.287","-","-1.40%"
"May 06, 2019","4.348","4.435","4.435","4.348","0.33K","-2.95%"
"May 03, 2019","4.480","4.480","4.480","4.480","-","1.13%"
"May 01, 2019","4.430","4.430","4.430","4.430","-","0.00%"
"Apr 26, 2019","4.430","4.480","4.480","4.430","5.15K","-1.18%"
"Apr 25, 2019","4.483","4.330","4.483","4.330","2.51K","-0.82%"
"Apr 24, 2019","4.520","4.470","4.520","4.470","0.41K","1.69%"
"Apr 23, 2019","4.445","4.400","4.445","4.400","0.75K","4.34%"
"Apr 18, 2019","4.260","4.260","4.260","4.260","-","-3.40%"
"Apr 15, 2019","4.410","4.410","4.410","4.410","-","-0.45%"
"Apr 12, 2019","4.430","4.430","4.430","4.430","-","-1.12%"
"Apr 11, 2019","4.480","4.410","4.550","4.410","5.07K","1.13%"
"Apr 10, 2019","4.430","4.500","4.500","4.430","4.60K","-1.56%"
"Apr 09, 2019","4.500","4.470","4.500","4.470","1.20K","-3.23%"
"Apr 05, 2019","4.650","4.650","4.650","4.650","-","3.56%"
"Mar 29, 2019","4.490","4.490","4.490","4.490","-","2.28%"
"Mar 28, 2019","4.390","4.390","4.390","4.390","-","-1.35%"
"Mar 25, 2019","4.450","4.545","4.545","4.450","3.90K","-4.51%"
"Mar 18, 2019","4.660","4.518","4.720","4.518","4.96K","2.64%"
"Mar 15, 2019","4.540","4.590","4.590","4.540","1.36K","-4.02%"
"Mar 12, 2019","4.730","4.700","4.730","4.670","0.91K","-1.05%"
"Mar 11, 2019","4.780","4.771","4.780","4.771","0.28K","0.63%"
"Mar 05, 2019","4.750","4.750","4.750","4.750","-","-0.25%"
"Mar 04, 2019","4.762","4.780","4.780","4.762","0.43K","0.25%"
"Mar 01, 2019","4.750","4.640","4.750","4.640","0.38K","-1.04%"
"Feb 28, 2019","4.800","4.800","4.800","4.800","-","3.00%"
"Feb 27, 2019","4.660","4.810","4.820","4.660","18.14K","-3.12%"
"Feb 26, 2019","4.810","4.810","4.810","4.810","-","-0.21%"
"Feb 22, 2019","4.820","4.820","4.820","4.820","-","4.10%"
"Feb 21, 2019","4.630","4.630","4.630","4.630","-","1.54%"
"Feb 19, 2019","4.560","4.560","4.560","4.560","-","-4.60%"
"Feb 15, 2019","4.780","4.780","4.780","4.780","-","3.91%"
"Feb 14, 2019","4.600","4.850","4.850","4.600","0.52K","-1.20%"
"Feb 13, 2019","4.656","4.656","4.656","4.656","-","-3.20%"
"Feb 12, 2019","4.810","4.810","4.810","4.810","-","3.13%"
"Feb 11, 2019","4.664","4.664","4.664","4.664","-","-1.40%"
"Feb 06, 2019","4.730","4.730","4.730","4.730","-","2.83%"
"Feb 05, 2019","4.600","4.600","4.600","4.600","-","0.22%"
"Feb 04, 2019","4.590","4.590","4.590","4.590","-","0.22%"
"Feb 01, 2019","4.580","4.715","4.715","4.580","20.14K","0.00%"
"Jan 31, 2019","4.580","4.580","4.580","4.580","-","-5.66%"
"Jan 30, 2019","4.855","4.855","4.855","4.855","-","0.31%"
"Jan 29, 2019","4.840","4.570","4.840","4.570","0.73K","0.83%"
"Jan 25, 2019","4.800","4.570","4.800","4.570","28.05K","2.39%"
"Jan 24, 2019","4.688","4.688","4.688","4.688","-","-0.26%"
"Jan 22, 2019","4.700","4.510","4.700","4.510","0.30K","0.00%"
"Jan 17, 2019","4.700","4.660","4.700","4.660","0.95K","-3.09%"
"Jan 16, 2019","4.850","4.585","5.000","4.585","2.50K","15.20%"
"Jan 15, 2019","4.210","4.210","4.210","4.210","-","-6.78%"
"Jan 14, 2019","4.516","4.516","4.516","4.516","-","-9.68%"
"Jan 11, 2019","5.000","4.210","5.000","4.210","0.29K","6.84%"
"Jan 07, 2019","4.680","4.680","4.680","4.680","-","4.32%"
"Jan 04, 2019","4.486","4.555","4.670","4.486","0.96K","8.62%"
"Jan 02, 2019","4.130","4.130","4.130","4.130","-","-11.37%"
"Dec 31, 2018","4.660","4.660","4.660","4.660","-","12.56%"
"Dec 28, 2018","4.140","4.140","4.140","4.140","-","-14.99%"
"Dec 26, 2018","4.870","4.920","4.920","4.870","3.03K","7.03%"
"Dec 20, 2018","4.550","4.500","4.550","4.500","4.77K","0.00%"
"Dec 19, 2018","4.550","4.550","4.550","4.550","-","-6.38%"
"Dec 18, 2018","4.860","4.300","4.860","4.300","5.27K","1.25%"
"Dec 17, 2018","4.800","4.385","4.800","4.330","2.97K","5.06%"
"Dec 14, 2018","4.569","4.380","4.569","4.380","0.34K","-8.25%"
"Dec 13, 2018","4.980","4.980","4.980","4.980","-","8.07%"
"Dec 07, 2018","4.608","4.608","4.608","4.608","-","-2.99%"
"Dec 06, 2018","4.750","4.700","4.750","4.700","4.45K","3.26%"
"Nov 29, 2018","4.600","4.600","4.600","4.600","-","11.65%"
"Nov 28, 2018","4.120","3.820","4.120","3.820","65.20K","-12.15%"
"Nov 27, 2018","4.690","4.260","4.690","4.260","1.20K","0.00%"
"Nov 26, 2018","4.690","4.640","4.690","4.640","1.66K","23.10%"
"Nov 21, 2018","3.810","3.810","3.810","3.810","-","-1.04%"
"Nov 20, 2018","3.850","3.850","3.850","3.850","-","-1.28%"
"Nov 19, 2018","3.900","3.800","3.900","3.800","34.65K","-13.91%"
"Nov 16, 2018","4.530","3.800","4.530","3.800","0.42K","0.22%"
"Nov 13, 2018","4.520","3.950","4.520","3.950","0.61K","3.43%"
"Nov 09, 2018","4.370","4.380","4.380","4.370","0.70K","-2.67%"
"Nov 07, 2018","4.490","4.490","4.490","4.490","-","2.05%"
"Nov 06, 2018","4.400","4.400","4.400","4.400","-","0.00%"
"Nov 02, 2018","4.400","4.460","4.460","4.400","0.28K","-0.90%"
"Nov 01, 2018","4.440","4.440","4.440","4.440","-","1.83%"
"Oct 30, 2018","4.360","3.750","4.360","3.750","0.70K","-0.91%"
"Oct 29, 2018","4.400","4.400","4.400","4.400","-","-0.45%"
"Oct 24, 2018","4.420","4.420","4.420","4.420","-","-2.86%"
"Oct 19, 2018","4.550","4.550","4.550","4.550","-","0.22%"
"Oct 18, 2018","4.540","4.582","4.582","4.540","0.60K","-3.61%"
"Oct 17, 2018","4.710","4.710","4.710","4.710","-","-3.88%"
"Oct 16, 2018","4.900","4.900","4.900","4.900","-","8.41%"
"Oct 15, 2018","4.520","4.510","4.520","4.510","0.57K","-1.27%"
"Oct 12, 2018","4.578","4.578","4.578","4.578","-","3.81%"
"Oct 11, 2018","4.410","4.610","4.610","4.410","1.06K","-4.96%"
"Oct 04, 2018","4.640","4.310","4.640","4.310","0.48K","-0.22%"
"Oct 02, 2018","4.650","4.650","4.650","4.650","-","-0.81%"
"Sep 28, 2018","4.688","4.668","4.688","4.668","0.66K","7.52%"
"Sep 27, 2018","4.360","4.360","4.360","4.360","-","-6.03%"
"Sep 26, 2018","4.640","4.650","4.650","4.640","16.90K","-2.56%"
"Sep 21, 2018","4.762","4.740","4.762","4.740","0.57K","-1.00%"
"Sep 20, 2018","4.810","4.810","4.810","4.810","-","3.89%"
"Sep 19, 2018","4.630","4.630","4.630","4.630","-","8.43%"
"Sep 18, 2018","4.270","4.320","4.320","4.270","2.40K","-10.11%"
"Sep 13, 2018","4.750","4.240","4.750","4.240","0.44K","-1.04%"
"Sep 10, 2018","4.800","4.680","4.800","4.680","1.41K","2.13%"
"Sep 07, 2018","4.700","4.700","4.700","4.700","-","-3.69%"
"Aug 31, 2018","4.880","4.880","4.880","4.880","-","1.04%"
"Aug 22, 2018","4.830","4.830","4.830","4.830","-","-1.02%"
"Aug 20, 2018","4.880","4.120","4.880","4.120","0.58K","7.25%"
"Aug 17, 2018","4.550","4.520","4.550","4.520","15.30K","10.98%"
"Aug 16, 2018","4.100","4.100","4.100","4.100","-","-15.98%"
"Aug 15, 2018","4.880","4.880","4.880","4.880","-","-4.13%"
"Aug 14, 2018","5.090","4.830","5.090","4.830","0.44K","12.61%"
"Aug 13, 2018","4.520","4.940","4.940","4.520","11.95K","-8.69%"
"Aug 09, 2018","4.950","4.800","4.950","4.800","0.94K","0.00%"
"Aug 07, 2018","4.950","4.950","4.950","4.950","-","4.17%"
"Aug 03, 2018","4.752","4.752","4.752","4.752","-","0.04%"
"Aug 02, 2018","4.750","4.750","4.750","4.750","-","-2.06%"
"Jul 31, 2018","4.850","4.834","4.850","4.834","1.94K","12.79%"
"Jul 27, 2018","4.300","4.300","4.300","4.300","-","1.18%"
"Jul 25, 2018","4.250","4.250","4.250","4.250","-","-12.01%"
"Jul 24, 2018","4.830","4.830","4.830","4.830","-","13.65%"
"Jul 23, 2018","4.250","4.300","4.300","4.250","0.82K","-12.37%"
"Jul 19, 2018","4.850","4.850","4.850","4.850","-","3.19%"
"Jul 18, 2018","4.700","4.650","4.700","4.100","1.38K","-1.05%"
"Jul 17, 2018","4.750","4.800","4.800","4.750","1.91K","0.00%"
"Jul 16, 2018","4.750","4.750","4.750","4.750","-","3.04%"
"Jul 13, 2018","4.610","4.610","4.610","4.610","-","0.22%"
"Jul 11, 2018","4.600","4.568","4.600","4.568","1.23K","1.55%"
"Jul 10, 2018","4.530","4.530","4.530","4.530","-","1.57%"
"Jul 06, 2018","4.460","4.490","4.490","4.460","2.74K","1.00%"
"Jul 05, 2018","4.416","4.416","4.416","4.416","-","0.36%"
"Jul 03, 2018","4.400","4.350","4.400","4.345","11.28K","0.00%"
"Jul 02, 2018","4.400","4.060","4.400","4.060","1.72K","1.15%"
"Jun 28, 2018","4.350","4.350","4.350","4.350","-","1.16%"
"Jun 27, 2018","4.300","4.000","4.300","4.000","23.23K","0.94%"
"Jun 25, 2018","4.260","4.260","4.260","4.260","-","7.04%"
"Jun 22, 2018","3.980","3.980","3.980","3.980","-","-1.49%"
"Jun 21, 2018","4.040","3.900","4.040","3.900","0.51K","-15.48%"
"Jun 20, 2018","4.780","3.970","4.780","3.970","7.43K","-0.42%"
"Jun 18, 2018","4.800","4.830","4.830","4.800","0.56K","-0.62%"
"Jun 15, 2018","4.830","4.830","4.830","4.830","-","1.05%"
"Jun 14, 2018","4.780","4.780","4.780","4.780","-","2.58%"
"Jun 13, 2018","4.660","4.660","4.660","4.660","-","-6.24%"
"Jun 12, 2018","4.970","4.980","4.980","4.970","0.38K","-10.13%"
"Jun 11, 2018","5.530","5.530","5.530","5.530","-","20.22%"
"Jun 08, 2018","4.600","4.338","4.600","4.338","2.54K","-8.00%"
"Jun 05, 2018","5.000","5.000","5.000","5.000","-","0.60%"
"May 31, 2018","4.970","4.970","4.970","4.970","-","1.80%"
"May 30, 2018","4.882","4.882","4.882","4.882","-","-0.57%"
"May 29, 2018","4.910","4.920","4.920","4.910","24.84K","-1.21%"
"May 25, 2018","4.970","5.020","5.020","4.970","0.34K","0.61%"
"May 24, 2018","4.940","4.940","4.940","4.940","-","-0.80%"
"May 23, 2018","4.980","4.980","4.980","4.980","-","-8.77%"
"May 22, 2018","5.459","5.398","5.459","5.398","0.77K","-0.38%"
"May 21, 2018","5.480","5.480","5.480","5.480","-","0.00%"
"May 18, 2018","5.480","5.480","5.480","5.480","-","2.11%"
"May 15, 2018","5.367","5.551","5.551","5.350","2.64K","0.51%"
"May 11, 2018","5.340","5.340","5.340","5.340","-","9.65%"
"May 10, 2018","4.870","4.870","4.870","4.870","-","-6.35%"
"May 09, 2018","5.200","5.250","5.250","5.200","1.10K","-4.94%"
"May 08, 2018","5.470","5.310","5.470","5.260","2.69K","-0.18%"
"May 07, 2018","5.480","5.250","5.480","5.250","1.43K","3.40%"
"May 04, 2018","5.300","5.300","5.300","5.300","-","-0.19%"
"May 03, 2018","5.310","5.357","5.357","5.310","0.25K","-3.79%"
"May 02, 2018","5.519","5.519","5.519","5.519","-","4.13%"
"Apr 26, 2018","5.300","5.300","5.300","5.300","-","-1.63%"
"Apr 25, 2018","5.388","5.388","5.388","5.388","-","0.71%"
"Apr 23, 2018","5.350","5.350","5.350","5.350","-","0.38%"
"Apr 12, 2018","5.330","5.290","5.380","5.290","19.77K","1.33%"
"Apr 11, 2018","5.260","5.260","5.260","5.260","-","-2.23%"
"Apr 10, 2018","5.380","5.380","5.380","5.380","-","1.78%"
"Apr 09, 2018","5.286","5.286","5.286","5.286","-","-2.29%"
"Apr 06, 2018","5.410","5.410","5.410","5.410","-","2.66%"
"Apr 04, 2018","5.270","5.420","5.420","5.270","1.04K","-2.23%"
"Mar 29, 2018","5.390","5.390","5.390","5.390","-","0.07%"
"Mar 28, 2018","5.386","5.290","5.390","5.290","2.81K","1.24%"
"Mar 27, 2018","5.320","5.380","5.380","5.310","7.34K","1.14%"
"Mar 22, 2018","5.260","5.340","5.340","5.260","0.75K","0.86%"
"Mar 21, 2018","5.215","5.215","5.215","5.215","-","1.07%"
"Mar 19, 2018","5.160","5.160","5.160","5.160","-","-2.86%"
"Mar 15, 2018","5.312","5.312","5.312","5.312","-","-0.60%"
"Mar 13, 2018","5.344","5.250","5.350","5.250","1.31K","0.68%"
"Mar 12, 2018","5.308","5.308","5.308","5.308","-","-0.66%"
"Mar 09, 2018","5.343","5.300","5.343","5.300","3.08K","1.87%"
"Mar 07, 2018","5.245","5.210","5.245","5.210","1.12K","-1.96%"
"Mar 06, 2018","5.350","5.350","5.350","5.350","-","0.45%"
"Mar 01, 2018","5.326","5.326","5.326","5.326","-","0.49%"
"Feb 28, 2018","5.300","5.300","5.300","5.300","-","0.00%"
"Feb 27, 2018","5.300","5.300","5.300","5.300","-","0.57%"
"Feb 26, 2018","5.270","5.290","5.290","5.200","11.85K","0.38%"
"Feb 23, 2018","5.250","5.020","5.290","5.020","2.73K","1.35%"
